,0
3594,I
3597,II
3598,I
3599,I
3601,II
3602,III
3605,II
3609,II
3613,II
3622,I
3623,I
3627,II
3628,II
3631,II
3632,II
3634,II
3636,I
3641,II
3643,III
3645,III
3646,II
3647,II
3652,I
3654,II
3655,II
3656,I
3660,I
3661,II
3664,I
3665,I
3670,III
3671,I
3672,I
3674,II
3677,I
3682,II
3683,II
3686,I
3688,III
3689,III
3691,I
3692,II
3693,I
3695,II
3696,II
3698,III
3699,II
3700,I
3706,II
3708,II
3709,I
3711,II
3713,II
3714,II
3717,III
3720,III
3722,II
3723,I
3725,II
3728,II
3729,I
3730,III
3731,III
3732,II
3735,I
3736,I
3737,I
3741,I
3743,III
3746,I
3749,III
3755,III
3757,I
3759,I
3760,III
3761,II
3762,I
3764,II
3767,III
3771,II
3772,I
3774,III
3775,II
3776,"II,III"
3777,II
3779,III
3782,II
3783,I
3784,III
3785,I
3789,II
3790,II
3792,"II,III"
3793,III
3797,I
3801,I
3802,I
3803,II
3807,I
3808,III
3809,II
3810,III
3812,I
3813,III
3814,II
3819,III
3823,III
3825,II
3826,I
3828,I
3829,I
3830,II
3834,"III,I"
3838,II
3839,II
3840,II
3841,II
3843,II
3844,II
3845,II
3847,II
3849,I
3852,I
3854,I
3856,III
3860,II
3863,I
3867,I
3872,I
3873,I
3876,III
3882,I
3884,I
3887,I
3888,"I,III"
3900,I
3905,I
3907,III
3916,II
3918,I
3919,I
3923,I
3925,I
3927,III
3929,III
3931,III
3932,II
3933,I
3934,I
3935,III
3936,II
3939,I
3940,II
3941,II
3942,I
3948,I
3950,II
3952,I
3955,II
3956,II
3959,III
3966,II
3968,II
3969,II
3970,II
3972,I
3974,II
3977,II
3978,I
3982,III
3984,II
3985,II
3990,II
3991,II
3992,II
3993,II
3994,I
3996,III
3998,II
3999,II
4001,I
4002,I
4007,III
4010,III
4013,II
4015,I
4020,I
4026,II
4028,III
4029,II
4030,I
4032,I
4034,I
4035,I
4036,I
4037,II
4038,I
4041,I
4043,I
4044,II
4048,I
4050,II
4052,II
4053,I
4054,II
4055,I
4056,III
4061,I
4062,II
4064,I
4065,II
4066,III
4067,II
4069,III
4070,III
4073,II
4074,III
4075,III
4076,II
4079,III
4082,II
4084,II
4085,III
4086,III
4087,III
4093,III
